Team,Season,TeamSeason,Staff,Wins,PS/G,PA/G,SRS,Championship,ThreePointers,ThreePointersAttempted,ThreePointPercentage
Hawks,sixteenSeason,HawkssixteenSeason,0,48,102.8,99.2,3.49,0,9.9,28.4,0.35
Celtics,sixteenSeason,CelticssixteenSeason,4,48,105.7,102.5,2.84,0,8.7,26.1,0.335
Nets,sixteenSeason,NetssixteenSeason,1,21,98.6,106,-7.12,0,6.5,18.4,0.352
Bobcats,sixteenSeason,BobcatssixteenSeason,0,48,103.4,100.7,2.36,0,10.6,29.4,0.362
Bulls,sixteenSeason,BullssixteenSeason,2,42,101.6,103.1,-1.46,0,7.9,21.4,0.371
Cavaliers,sixteenSeason,CavalierssixteenSeason,1,57,104.3,98.3,5.45,1,10.7,29.6,0.362
Mavericks,sixteenSeason,MaverickssixteenSeason,1,42,102.3,102.6,-0.02,0,9.8,28.6,0.344
Nuggets,sixteenSeason,NuggetssixteenSeason,1,33,101.9,105,-2.81,0,8,23.7,0.338
Pistons,sixteenSeason,PistonssixteenSeason,2,44,102,101.4,0.43,0,9,26.2,0.345
Warriors,sixteenSeason,WarriorssixteenSeason,2,73,114.9,104.1,10.38,0,13.1,31.6,0.416
Rockets,sixteenSeason,RocketssixteenSeason,4,41,106.5,106.4,0.34,0,10.7,30.9,0.347
Pacers,sixteenSeason,PacerssixteenSeason,1,45,102.2,100.5,1.62,0,8.1,23,0.351
Clippers,sixteenSeason,ClipperssixteenSeason,0,53,104.5,100.2,4.13,0,9.7,26.7,0.364
Lakers,sixteenSeason,LakerssixteenSeason,2,17,97.3,106.9,-8.92,0,7.8,24.6,0.317
Grizzlies,sixteenSeason,GrizzliessixteenSeason,1,42,99.1,101.3,-2.14,0,6.1,18.5,0.331
Heat,sixteenSeason,HeatsixteenSeason,1,48,100,98.4,1.5,0,6.1,18,0.336
Bucks,sixteenSeason,BuckssixteenSeason,1,33,99,103.2,-3.98,0,5.4,15.6,0.345
Timberwolves,sixteenSeason,TimberwolvessixteenSeason,1,29,102.4,106,-3.38,0,5.5,16.4,0.338
Pelicans,sixteenSeason,PelicanssixteenSeason,0,30,102.7,106.5,-3.56,0,8.6,23.8,0.36
Knicks,sixteenSeason,KnickssixteenSeason,1,32,98.4,101.1,-2.74,0,7.4,21.5,0.346
City,sixteenSeason,CitysixteenSeason,2,55,110.2,102.9,7.09,0,8.3,23.7,0.349
Magic,sixteenSeason,MagicsixteenSeason,0,35,102.1,103.7,-1.68,0,7.8,22.2,0.35
76ers,sixteenSeason,76erssixteenSeason,2,10,97.4,107.6,-9.92,0,9.3,27.5,0.339
Suns,sixteenSeason,SunssixteenSeason,3,23,100.9,107.5,-6.32,0,9,25.8,0.348
Blazers,sixteenSeason,BlazerssixteenSeason,2,44,105.1,104.3,0.98,0,10.5,28.5,0.37
Kings,sixteenSeason,KingssixteenSeason,1,33,106.6,109.1,-2.32,0,8,22.4,0.359
Spurs,sixteenSeason,SpurssixteenSeason,1,67,103.5,92.9,10.28,0,7,18.5,0.375
Raptors,sixteenSeason,RaptorssixteenSeason,2,56,102.7,98.2,4.08,0,8.6,23.4,0.37
Jazz,sixteenSeason,JazzsixteenSeason,0,40,97.7,95.9,1.84,0,8.5,23.9,0.355
Wizards,sixteenSeason,WizardssixteenSeason,3,41,104.1,104.6,-0.5,0,8.6,24.2,0.358
Hawks,seventeenSeason,HawksseventeenSeason,1,43,103.2,104,-1.23,0,8.9,26.1,0.341
Celtics,seventeenSeason,CelticsseventeenSeason,4,53,108,105.4,2.25,0,12,33.4,0.359
Nets,seventeenSeason,NetsseventeenSeason,3,20,105.8,112.5,-6.74,0,10.7,31.6,0.338
Bobcats,seventeenSeason,BobcatsseventeenSeason,1,36,104.9,104.7,-0.07,0,10,28.6,0.351
Bulls,seventeenSeason,BullsseventeenSeason,2,41,102.9,102.4,0.03,0,7.6,22.3,0.34
Cavaliers,seventeenSeason,CavaliersseventeenSeason,1,51,110.3,107.2,2.87,0,13,33.9,0.384
Mavericks,seventeenSeason,MavericksseventeenSeason,3,33,97.9,100.8,-2.53,0,10.7,30.2,0.355
Nuggets,seventeenSeason,NuggetsseventeenSeason,2,40,111.7,111.2,0.7,0,10.6,28.8,0.368
Pistons,seventeenSeason,PistonsseventeenSeason,1,37,101.3,102.5,-1.29,0,7.7,23.4,0.33
Warriors,seventeenSeason,WarriorsseventeenSeason,2,67,115.9,104.3,11.35,1,12,31.2,0.383
Rockets,seventeenSeason,RocketsseventeenSeason,4,55,115.3,109.6,5.84,0,14.4,40.3,0.357
Pacers,seventeenSeason,PacersseventeenSeason,1,42,105.1,105.3,-0.64,0,8.6,23,0.376
Clippers,seventeenSeason,ClippersseventeenSeason,2,51,108.7,104.4,4.42,0,10.3,27.4,0.375
Lakers,seventeenSeason,LakersseventeenSeason,2,26,104.6,111.5,-6.29,0,8.9,25.7,0.346
Grizzlies,seventeenSeason,GrizzliesseventeenSeason,1,43,100.5,100,0.96,0,9.4,26.5,0.354
Heat,seventeenSeason,HeatseventeenSeason,1,41,103.2,102.1,0.77,0,9.9,27,0.365
Bucks,seventeenSeason,BucksseventeenSeason,1,42,103.6,103.8,-0.45,0,8.8,23.7,0.37
Timberwolves,seventeenSeason,TimberwolvesseventeenSeason,1,31,105.6,106.7,-0.64,0,7.3,21,0.349
Pelicans,seventeenSeason,PelicansseventeenSeason,1,34,104.3,106.4,-1.69,0,9.4,26.8,0.35
Knicks,seventeenSeason,KnicksseventeenSeason,2,31,104.3,108,-3.87,0,8.6,24.7,0.348
City,seventeenSeason,CityseventeenSeason,4,47,106.6,105.8,1.14,0,8.4,25.8,0.327
Magic,seventeenSeason,MagicseventeenSeason,1,29,101.1,107.6,-6.61,0,8.5,26.1,0.328
76ers,seventeenSeason,76ersseventeenSeason,3,28,102.4,108.1,-5.83,0,10.1,29.8,0.34
Suns,seventeenSeason,SunsseventeenSeason,3,24,107.7,113.3,-5.14,0,7.5,22.6,0.332
Blazers,seventeenSeason,BlazersseventeenSeason,2,41,107.9,108.5,-0.23,0,10.4,27.7,0.375
Kings,seventeenSeason,KingsseventeenSeason,2,32,102.8,106.7,-3.29,0,9,23.9,0.376
Spurs,seventeenSeason,SpursseventeenSeason,2,61,105.3,98.1,7.13,0,9.2,23.5,0.391
Raptors,seventeenSeason,RaptorsseventeenSeason,2,51,106.9,102.6,3.65,0,8.8,24.3,0.363
Jazz,seventeenSeason,JazzseventeenSeason,1,51,100.7,96.8,4,0,9.6,26,0.372
Wizards,seventeenSeason,WizardsseventeenSeason,1,49,109.2,107.4,1.36,0,9.2,24.8,0.372
Hawks,eighteenSeason,HawkseighteenSeason,1,24,103.4,108.8,-5,0,11.2,31,0.36
Celtics,eighteenSeason,CelticseighteenSeason,4,55,104,100.4,3.23,0,11.5,30.4,0.377
Nets,eighteenSeason,NetseighteenSeason,3,28,106.6,110.3,-3.67,0,12.7,35.7,0.356
Bobcats,eighteenSeason,BobcatseighteenSeason,2,36,108.2,108,0.07,0,10,27.2,0.369
Bulls,eighteenSeason,BullseighteenSeason,2,27,102.9,110,-6.84,0,11,31.1,0.355
Cavaliers,eighteenSeason,CavalierseighteenSeason,2,50,110.9,109.9,0.59,0,12,32.1,0.372
Mavericks,eighteenSeason,MaverickseighteenSeason,3,24,102.3,105.4,-2.7,0,11.8,32.8,0.36
Nuggets,eighteenSeason,NuggetseighteenSeason,2,46,110,108.5,1.57,0,11.5,30.9,0.371
Pistons,eighteenSeason,PistonseighteenSeason,1,39,103.8,103.9,-0.26,0,10.8,28.9,0.373
Warriors,eighteenSeason,WarriorseighteenSeason,2,58,113.5,107.5,5.79,1,11.3,28.9,0.391
Rockets,eighteenSeason,RocketseighteenSeason,6,65,112.4,103.9,8.21,0,15.3,42.3,0.362
Pacers,eighteenSeason,PacerseighteenSeason,2,48,105.6,104.2,1.18,0,9,24.5,0.369
Clippers,eighteenSeason,ClipperseighteenSeason,1,42,109,109,0.15,0,9.5,26.8,0.354
Lakers,eighteenSeason,LakerseighteenSeason,2,35,108.1,109.6,-1.44,0,10,29.1,0.345
Grizzlies,eighteenSeason,GrizzlieseighteenSeason,2,22,99.3,105.5,-5.81,0,9.2,26.2,0.352
Heat,eighteenSeason,HeateighteenSeason,2,44,103.4,102.9,0.15,0,11,30.6,0.36
