Team,Season,TeamSeason,Staff,Wins,PS/G,PA/G,SRS,Championship,ThreePointers,ThreePointersAttempted,ThreePointPercentage
Hawks,tenSeason,HawkstenSeason,0,53,101.7,97,4.44,0,6.4,17.7,0.36
Celtics,tenSeason,CelticstenSeason,2,50,99.2,95.6,3.37,0,6.1,17.5,0.348
Nets,tenSeason,NetstenSeason,0,12,92.4,101.5,-8.93,0,4.6,14.5,0.318
Bobcats,tenSeason,BobcatstenSeason,0,44,95.3,93.8,1.3,0,5.6,16.2,0.346
Bulls,tenSeason,BullstenSeason,0,41,97.5,99.1,-1.64,0,4.3,13,0.33
Cavaliers,tenSeason,CavalierstenSeason,2,61,102.1,95.6,6.17,0,7.3,19.3,0.381
Mavericks,tenSeason,MaverickstenSeason,2,55,102,99.3,2.66,0,6.8,18.3,0.372
Nuggets,tenSeason,NuggetstenSeason,1,53,106.5,102.4,4.15,0,6.6,18.5,0.359
Pistons,tenSeason,PistonstenSeason,0,27,94,99.1,-5.02,0,4.6,14.5,0.314
Warriors,tenSeason,WarriorstenSeason,0,26,108.8,112.4,-3.28,0,7.7,20.6,0.375
Rockets,tenSeason,RocketstenSeason,4,42,102.4,102.7,-0.02,0,7.9,22.4,0.351
Pacers,tenSeason,PacerstenSeason,0,32,100.8,103.8,-3.11,0,8,23.1,0.348
Clippers,tenSeason,ClipperstenSeason,0,29,95.7,102.1,-6.01,0,5.9,17.8,0.332
Lakers,tenSeason,LakerstenSeason,0,57,101.7,97,4.78,1,6.5,19,0.341
Grizzlies,tenSeason,GrizzliestenSeason,0,40,102.5,104,-1.39,0,4.2,12.4,0.337
Heat,tenSeason,HeattenSeason,0,47,96.5,94.2,1.99,0,6,17.4,0.346
Bucks,tenSeason,BuckstenSeason,0,46,97.7,96,1.37,0,7.9,22.1,0.356
Timberwolves,tenSeason,TimberwolvestenSeason,0,15,98.2,107.8,-9.06,0,4.9,14.4,0.341
Pelicans,tenSeason,PelicanstenSeason,0,37,100.2,102.7,-2.27,0,7,19.2,0.363
Knicks,tenSeason,KnickstenSeason,0,29,102.1,105.9,-4.01,0,9.1,26.2,0.346
City,tenSeason,CitytenSeason,3,50,101.5,98,3.55,0,5.1,15,0.34
Magic,tenSeason,MagictenSeason,0,59,102.8,95.3,7.12,0,10.3,27.3,0.375
76ers,tenSeason,76erstenSeason,0,27,97.7,101.6,-3.93,0,5.8,16.8,0.343
Suns,tenSeason,SunstenSeason,0,54,110.2,105.3,4.67,0,8.9,21.6,0.412
Blazers,tenSeason,BlazerstenSeason,4,50,98.1,94.8,3.18,0,6,16.9,0.354
Kings,tenSeason,KingstenSeason,0,25,100,104.4,-4.06,0,5.9,16.9,0.349
Spurs,tenSeason,SpurstenSeason,1,50,101.4,96.3,5.07,0,6.8,18.9,0.358
Raptors,tenSeason,RaptorstenSeason,1,40,104.1,105.9,-1.83,0,6.3,17,0.371
Jazz,tenSeason,JazztenSeason,0,53,104.2,98.9,5.33,0,5.4,14.7,0.364
Wizards,tenSeason,WizardstenSeason,0,26,96.2,101,-4.72,0,5.3,14.9,0.353
Hawks,elevenSeason,HawkselevenSeason,0,44,95,95.8,-1.1,0,6.1,17.4,0.352
Celtics,elevenSeason,CelticselevenSeason,2,56,96.5,91.1,4.83,0,5,13.6,0.365
Nets,elevenSeason,NetselevenSeason,1,24,94.2,100.4,-6.28,0,5.6,16.3,0.343
Bobcats,elevenSeason,BobcatselevenSeason,0,34,93.3,97.3,-4.08,0,4.8,14.7,0.327
Bulls,elevenSeason,BullselevenSeason,0,62,98.6,91.3,6.53,0,6.2,17.3,0.361
Cavaliers,elevenSeason,CavalierselevenSeason,2,19,95.5,104.5,-8.88,0,6.2,18.2,0.342
Mavericks,elevenSeason,MaverickselevenSeason,2,57,100.2,96,4.41,1,7.9,21.6,0.365
Nuggets,elevenSeason,NuggetselevenSeason,1,50,107.5,102.7,4.81,0,8.1,20.8,0.388
Pistons,elevenSeason,PistonselevenSeason,0,30,97,100.6,-3.78,0,5.8,15.3,0.376
Warriors,elevenSeason,WarriorselevenSeason,0,36,103.4,105.7,-2,0,8.4,21.3,0.392
Rockets,elevenSeason,RocketselevenSeason,4,43,105.9,103.7,2.37,0,8.3,22.5,0.367
Pacers,elevenSeason,PacerselevenSeason,1,37,99.8,100.9,-1.38,0,7.1,20.2,0.354
Clippers,elevenSeason,ClipperselevenSeason,0,32,98.6,101.8,-2.71,0,6.3,18.5,0.338
Lakers,elevenSeason,LakerselevenSeason,1,57,101.5,95.4,6.01,0,6.4,18.1,0.352
Grizzlies,elevenSeason,GrizzlieselevenSeason,1,46,99.9,97.6,2.55,0,3.8,11.3,0.334
Heat,elevenSeason,HeatelevenSeason,1,58,102.1,94.6,6.76,0,6.7,18,0.37
Bucks,elevenSeason,BuckselevenSeason,1,35,91.9,92.7,-1.02,0,5.9,17.2,0.342
Timberwolves,elevenSeason,TimberwolveselevenSeason,0,17,101.1,107.7,-5.97,0,7.2,19.1,0.376
Pelicans,elevenSeason,PelicanselevenSeason,0,46,94.9,94,1.28,0,5.4,15,0.36
Knicks,elevenSeason,KnickselevenSeason,0,42,106.5,105.7,0.48,0,9.3,25.4,0.368
City,elevenSeason,CityelevenSeason,2,55,104.8,101,3.81,0,5.9,17.1,0.347
